season,flower_sp,pollinator_abundance
Summer,flower_sp1,9
Summer,flower_sp1,9
Summer,flower_sp1,7
Summer,flower_sp1,4
Summer,flower_sp1,8
Summer,flower_sp1,7
Summer,flower_sp1,7
Summer,flower_sp1,8
Summer,flower_sp1,14
Summer,flower_sp1,10
Summer,flower_sp1,6
Summer,flower_sp1,11
Summer,flower_sp1,10
Summer,flower_sp1,5
Summer,flower_sp1,9
Summer,flower_sp1,6
Summer,flower_sp1,9
Summer,flower_sp1,6
Summer,flower_sp1,10
Summer,flower_sp1,8
Summer,flower_sp1,10
Summer,flower_sp1,7
Summer,flower_sp1,12
Summer,flower_sp1,8
Summer,flower_sp1,5
Summer,flower_sp1,10
Summer,flower_sp1,10
Summer,flower_sp1,17
Summer,flower_sp1,9
Summer,flower_sp1,4
Summer,flower_sp2,34
Summer,flower_sp2,23
Summer,flower_sp2,16
Summer,flower_sp2,15
Summer,flower_sp2,38
Summer,flower_sp2,13
Summer,flower_sp2,34
Summer,flower_sp2,20
Summer,flower_sp2,11
Summer,flower_sp2,24
Summer,flower_sp2,21
Summer,flower_sp2,18
Summer,flower_sp2,31
Summer,flower_sp2,18
Summer,flower_sp2,48
Summer,flower_sp2,20
Summer,flower_sp2,28
Summer,flower_sp2,26
Summer,flower_sp2,27
Summer,flower_sp2,31
Summer,flower_sp2,16
Summer,flower_sp2,44
Summer,flower_sp2,24
Summer,flower_sp2,33
Summer,flower_sp2,23
Summer,flower_sp2,21
Summer,flower_sp2,13
Summer,flower_sp2,16
Summer,flower_sp2,29
Summer,flower_sp2,22
Summer,flower_sp3,58
Summer,flower_sp3,39
Summer,flower_sp3,54
Summer,flower_sp3,51
Summer,flower_sp3,41
Summer,flower_sp3,66
Summer,flower_sp3,86
Summer,flower_sp3,56
Summer,flower_sp3,53
Summer,flower_sp3,68
Summer,flower_sp3,79
Summer,flower_sp3,58
Summer,flower_sp3,36
Summer,flower_sp3,51
Summer,flower_sp3,36
Summer,flower_sp3,58
Summer,flower_sp3,84
Summer,flower_sp3,64
Summer,flower_sp3,46
Summer,flower_sp3,53
Summer,flower_sp3,52
Summer,flower_sp3,37
Summer,flower_sp3,56
Summer,flower_sp3,53
Summer,flower_sp3,61
Summer,flower_sp3,41
Summer,flower_sp3,35
Summer,flower_sp3,18
Summer,flower_sp3,46
Summer,flower_sp3,39
Autumn,flower_sp1,14
Autumn,flower_sp1,10
Autumn,flower_sp1,24
Autumn,flower_sp1,11
Autumn,flower_sp1,12
Autumn,flower_sp1,25
Autumn,flower_sp1,20
Autumn,flower_sp1,25
Autumn,flower_sp1,22
Autumn,flower_sp1,22
Autumn,flower_sp1,25
Autumn,flower_sp1,15
Autumn,flower_sp1,20
Autumn,flower_sp1,16
Autumn,flower_sp1,12
Autumn,flower_sp1,12
Autumn,flower_sp1,25
Autumn,flower_sp1,22
Autumn,flower_sp1,10
Autumn,flower_sp1,13
Autumn,flower_sp1,17
Autumn,flower_sp1,15
Autumn,flower_sp1,22
Autumn,flower_sp1,18
Autumn,flower_sp1,20
Autumn,flower_sp1,24
Autumn,flower_sp1,20
Autumn,flower_sp1,16
Autumn,flower_sp1,13
Autumn,flower_sp1,10
Autumn,flower_sp2,16
Autumn,flower_sp2,19
Autumn,flower_sp2,15
Autumn,flower_sp2,17
Autumn,flower_sp2,13
Autumn,flower_sp2,24
Autumn,flower_sp2,10
Autumn,flower_sp2,23
Autumn,flower_sp2,10
Autumn,flower_sp2,16
Autumn,flower_sp2,19
Autumn,flower_sp2,10
Autumn,flower_sp2,11
Autumn,flower_sp2,19
Autumn,flower_sp2,23
Autumn,flower_sp2,10
Autumn,flower_sp2,24
Autumn,flower_sp2,15
Autumn,flower_sp2,12
Autumn,flower_sp2,20
Autumn,flower_sp2,12
Autumn,flower_sp2,20
Autumn,flower_sp2,24
Autumn,flower_sp2,20
Autumn,flower_sp2,11
Autumn,flower_sp2,14
Autumn,flower_sp2,20
Autumn,flower_sp2,10
Autumn,flower_sp2,15
Autumn,flower_sp2,18
Autumn,flower_sp3,20
Autumn,flower_sp3,11
Autumn,flower_sp3,25
Autumn,flower_sp3,14
Autumn,flower_sp3,16
Autumn,flower_sp3,13
Autumn,flower_sp3,18
Autumn,flower_sp3,25
Autumn,flower_sp3,21
Autumn,flower_sp3,13
Autumn,flower_sp3,21
Autumn,flower_sp3,22
Autumn,flower_sp3,20
Autumn,flower_sp3,24
Autumn,flower_sp3,14
Autumn,flower_sp3,18
Autumn,flower_sp3,15
Autumn,flower_sp3,23
Autumn,flower_sp3,19
Autumn,flower_sp3,11
Autumn,flower_sp3,18
Autumn,flower_sp3,21
Autumn,flower_sp3,12
Autumn,flower_sp3,22
Autumn,flower_sp3,19
Autumn,flower_sp3,11
Autumn,flower_sp3,11
Autumn,flower_sp3,23
Autumn,flower_sp3,13
Autumn,flower_sp3,23
Winter,flower_sp1,3
Winter,flower_sp1,9
Winter,flower_sp1,5
Winter,flower_sp1,1
Winter,flower_sp1,6
Winter,flower_sp1,8
Winter,flower_sp1,6
Winter,flower_sp1,4
Winter,flower_sp1,2
Winter,flower_sp1,2
Winter,flower_sp1,6
Winter,flower_sp1,2
Winter,flower_sp1,1
Winter,flower_sp1,5
Winter,flower_sp1,3
Winter,flower_sp1,4
Winter,flower_sp1,3
Winter,flower_sp1,3
Winter,flower_sp1,2
Winter,flower_sp1,4
Winter,flower_sp1,2
Winter,flower_sp1,5
Winter,flower_sp1,3
Winter,flower_sp1,6
Winter,flower_sp1,2
Winter,flower_sp1,8
Winter,flower_sp1,6
Winter,flower_sp1,3
Winter,flower_sp1,5
Winter,flower_sp1,1
Winter,flower_sp2,4
Winter,flower_sp2,8
Winter,flower_sp2,14
Winter,flower_sp2,8
Winter,flower_sp2,10
Winter,flower_sp2,3
Winter,flower_sp2,7
Winter,flower_sp2,13
Winter,flower_sp2,6
Winter,flower_sp2,8
Winter,flower_sp2,6
Winter,flower_sp2,8
Winter,flower_sp2,8
Winter,flower_sp2,13
Winter,flower_sp2,5
Winter,flower_sp2,4
Winter,flower_sp2,11
Winter,flower_sp2,12
Winter,flower_sp2,7
Winter,flower_sp2,7
Winter,flower_sp2,11
Winter,flower_sp2,12
Winter,flower_sp2,5
Winter,flower_sp2,16
Winter,flower_sp2,6
Winter,flower_sp2,15
Winter,flower_sp2,14
Winter,flower_sp2,2
Winter,flower_sp2,9
Winter,flower_sp2,10
Winter,flower_sp3,11
Winter,flower_sp3,28
Winter,flower_sp3,13
Winter,flower_sp3,10
Winter,flower_sp3,13
Winter,flower_sp3,28
Winter,flower_sp3,16
Winter,flower_sp3,14
Winter,flower_sp3,19
Winter,flower_sp3,10
Winter,flower_sp3,19
Winter,flower_sp3,21
Winter,flower_sp3,16
Winter,flower_sp3,11
Winter,flower_sp3,17
Winter,flower_sp3,17
Winter,flower_sp3,14
Winter,flower_sp3,16
Winter,flower_sp3,16
Winter,flower_sp3,7
Winter,flower_sp3,12
Winter,flower_sp3,10
Winter,flower_sp3,17
Winter,flower_sp3,10
Winter,flower_sp3,13
Winter,flower_sp3,9
Winter,flower_sp3,22
Winter,flower_sp3,14
Winter,flower_sp3,7
Winter,flower_sp3,11
